Regressors,1,2,3,4,5,6
Shock,2.39 **,2.31 **,2.25 **,3.05 **,3.0 **,3.0 **
 ,(0.95),(0.96),(0.95),(1.22),(1.23),(1.24)
Shock x Forward DW All,-1.94 *,-1.84 *,-1.8 *,-4.03 ***,-3.78 ***,-3.78 ***
 ,(1.07),(1.07),(1.07),(1.38),(1.36),(1.37)
Shock x Forward DW Some,-1.15 ,-1.12 ,-1.08 ,-0.21 ,-0.17 ,-0.17 
 ,(1.03),(1.03),(1.02),(0.94),(0.94),(0.94)
Shock x Backward DW All,,,,2.27 ,2.13 ,2.12 
 ,,,,(1.5),(1.46),(1.47)
Shock x Backward DW Some,,,,-1.99 **,-2.03 **,-2.03 **
 ,,,,(0.94),(0.97),(0.97)
R2,0.09,0.09,0.09,0.13,0.14,0.14
Time controls,Day,Day,Shock x Day,Day,Day,Shock x Day
Fixed effects,No,District,District,No,District,District
Observations,11386,11386,11386,10651,10651,10651
