"","1","2","3","4","5","6"
"Shock","2.68 ***","2.68 ***","2.53 ***","3.43 ***","3.43 ***","3.33 ***"
"Shock SE","(0.5)","(0.67)","(0.59)","(0.47)","(0.63)","(0.55)"
"Shock x (Always DW)","","","","-2.31 ***","-2.31 ***","-2.37 ***"
"Shock x (Always DW) SE","","","","(0.48)","(0.52)","(0.5)"
"Always DW","","","","7.19 ***","7.19 ***","7.28 ***"
"Always DW SE","","","","(0.36)","(0.37)","(0.32)"
"Mc-Fadden R2","0.03","0.03","0.05","0.04","0.04","0.06"
"Time controls","Day","Day","Day","Shock x Day","Shock x Day","Shock x Day"
"Fixed effects","District","District","Block","District","District","Block"
"Observations","13542","13542","13542","13542","13542","13542"
