"","1","2","3","4","5","6"
"Shock","6.48 ***","6.48 ***","5.36 ***","8.96 ***","8.96 ***","7.4 ***"
"Shock SE","(0.85)","(0.97)","(0.92)","(1.11)","(1.28)","(1.17)"
"Shock x (Forward DW All)","-5.1 ***","-5.1 ***","-4.45 ***","-6.84 ***","-6.84 ***","-7.34 ***"
"Shock x (Forward DW All) SE","(0.83)","(0.87)","(0.84)","(1)","(0.98)","(0.9)"
"Shock x (Forward DW Some)","-2.91 ***","-2.91 ***","-1.9 **","0.66 ","0.66 ","0.41 "
"Shock x (Forward DW Some) SE","(0.85)","(0.83)","(0.85)","(0.86)","(0.82)","(0.83)"
"Shock x (Backward DW All)","","","","0.36 ","0.36 ","1.85 *"
"Shock x (Backward DW All) SE","","","","(1.06)","(1.1)","(1.06)"
"Shock x (Backward DW Some)","","","","-7.2 ***","-7.2 ***","-6.08 ***"
"Shock x (Backward DW Some) SE","","","","(0.93)","(0.92)","(0.87)"
"Mc-Fadden R2","0.08","0.08","0.09","0.11","0.11","0.12"
"Time controls","Day","Day","Day","Shock x Day","Shock x Day","Shock x Day"
"Fixed effects","District","District","Block","District","District","Block"
"Observations","12103","12103","12103","11314","11314","11314"
