"","1","2","3","4"
"Shock","68.8 ","68.8 ","45.79 ","45.79 "
"Shock SE","(50.93)","(58.04)","(55.29)","(56.21)"
"Shock x (Forward DW All)","-224.93 ***","-224.93 ***","-349.66 ***","-349.66 ***"
"Shock x (Forward DW All) SE","(72.11)","(72.39)","(82.67)","(90.82)"
"Shock x (Forward DW Some)","-315.03 ***","-315.03 ***","-228.9 ***","-228.9 ***"
"Shock x (Forward DW Some) SE","(48.88)","(51.88)","(57.35)","(61.34)"
"Shock x (Backward DW All)","","","205.08 **","205.08 **"
"Shock x (Backward DW All) SE","","","(92.86)","(95.77)"
"Shock x (Backward DW Some)","","","-93.11 *","-93.11 *"
"Shock x (Backward DW Some) SE","","","(55.07)","(52.69)"
"Mc-Fadden R2","0.11","0.11","0.13","0.13"
"Time controls","Day","Day","Shock x Day","Shock x Day"
"Fixed effects","District","District","District","District"
"Observations","12103","12103","11314","11314"
